2024-08-27/03ч45м29с

grid:ss_cur  | GCSdist |dFval   |dNEv/dNSc/dNbl|dPLen   ||ss_mult
gGCS:4.0e-03 | 4.00e-03|+1.4e+02|   0/   0/   0|-8.72e+00||222222222222222222222222
mult                    |dist[dir][coord]                                                                                                                                                                                                                                                                                                                                                                                  
211111111111111111111111|0.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00;1.0e+00 1.0e+00
221111111111111111111112|8.0e-03 1.2e+00;1.2e+00 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;1.2e+00 0.0e+00
211111111111111111111111|0.0e+00 1.2e+00;1.2e+00 1.2e-02;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;1.2e+00 8.0e-03
222221111111111111111112|2.0e-02 1.2e+00;1.2e+00 1.6e-02;2.8e-02 1.2e-02;2.8e-02 8.0e-03;2.8e-02 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;1.2e+00 0.0e+00
211111111111111111111111|0.0e+00 1.2e+00;1.2e+00 2.4e-02;3.6e-02 2.0e-02;3.6e-02 1.6e-02;3.6e-02 1.2e-02;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;1.2e+00 8.0e-03
222211111111111111111112|1.6e-02 1.2e+00;1.2e+00 1.2e-02;6.0e-02 8.0e-03;6.0e-02 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;1.2e+00 0.0e+00
211111111111111111111111|0.0e+00 1.2e+00;1.2e+00 2.0e-02;6.8e-02 1.6e-02;6.8e-02 1.2e-02;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;1.2e+00 8.0e-03
222111111111111111111112|1.2e-02 1.3e+00;1.3e+00 8.0e-03;8.8e-02 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;1.3e+00 0.0e+00
211111111111111111111111|0.0e+00 1.3e+00;1.3e+00 1.6e-02;9.6e-02 1.2e-02;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;1.3e+00 8.0e-03
221111111111111111111112|8.0e-03 1.3e+00;1.3e+00 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;1.3e+00 0.0e+00
211111111111111111111111|0.0e+00 1.3e+00;1.3e+00 1.2e-02;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;1.3e+00 8.0e-03
222222111111111111111112|2.4e-02 1.3e+00;1.3e+00 2.0e-02;3.2e-02 1.6e-02;3.2e-02 1.2e-02;3.2e-02 8.0e-03;3.2e-02 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;1.3e+00 0.0e+00
211111111111111111111111|0.0e+00 1.3e+00;1.3e+00 2.8e-02;4.0e-02 2.4e-02;4.0e-02 2.0e-02;4.0e-02 1.6e-02;4.0e-02 1.2e-02;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;1.3e+00 8.0e-03
222221111111111111111112|2.0e-02 1.4e+00;1.4e+00 1.6e-02;6.8e-02 1.2e-02;6.8e-02 8.0e-03;6.8e-02 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;1.4e+00 0.0e+00
211111111111111111111111|0.0e+00 1.4e+00;1.4e+00 2.4e-02;7.6e-02 2.0e-02;7.6e-02 1.6e-02;7.6e-02 1.2e-02;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;1.4e+00 8.0e-03
222211111111111111111112|1.6e-02 1.4e+00;1.4e+00 1.2e-02;1.0e-01 8.0e-03;1.0e-01 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;1.4e+00 0.0e+00
211111111111111111111111|0.0e+00 1.4e+00;1.4e+00 2.0e-02;1.1e-01 1.6e-02;1.1e-01 1.2e-02;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;1.4e+00 8.0e-03
222111111111111111111112|1.2e-02 1.4e+00;1.4e+00 8.0e-03;1.3e-01 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;1.4e+00 0.0e+00
211111111111111111111111|0.0e+00 1.4e+00;1.4e+00 1.6e-02;1.4e-01 1.2e-02;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;1.4e+00 8.0e-03
221111111111111111111112|8.0e-03 1.4e+00;1.4e+00 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;1.4e+00 0.0e+00
211111111111111111111111|0.0e+00 1.5e+00;1.5e+00 1.2e-02;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;1.5e+00 8.0e-03
222222211111111111111112|2.8e-02 1.5e+00;1.5e+00 2.4e-02;3.6e-02 2.0e-02;3.6e-02 1.6e-02;3.6e-02 1.2e-02;3.6e-02 8.0e-03;3.6e-02 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;1.5e+00 0.0e+00
211111111111111111111111|0.0e+00 1.5e+00;1.5e+00 3.2e-02;4.4e-02 2.8e-02;4.4e-02 2.4e-02;4.4e-02 2.0e-02;4.4e-02 1.6e-02;4.4e-02 1.2e-02;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;1.5e+00 8.0e-03
222222111111111111111112|2.4e-02 1.5e+00;1.5e+00 2.0e-02;7.6e-02 1.6e-02;7.6e-02 1.2e-02;7.6e-02 8.0e-03;7.6e-02 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;1.5e+00 0.0e+00
211111111111111111111111|0.0e+00 1.5e+00;1.5e+00 2.8e-02;8.4e-02 2.4e-02;8.4e-02 2.0e-02;8.4e-02 1.6e-02;8.4e-02 1.2e-02;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;1.5e+00 8.0e-03
222221111111111111111112|2.0e-02 1.6e+00;1.6e+00 1.6e-02;1.1e-01 1.2e-02;1.1e-01 8.0e-03;1.1e-01 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;1.6e+00 0.0e+00
211111111111111111111111|0.0e+00 1.6e+00;1.6e+00 2.4e-02;1.2e-01 2.0e-02;1.2e-01 1.6e-02;1.2e-01 1.2e-02;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;0.0e+00 0.0e+00;1.6e+00 8.0e-03
222211111111111111111112|1.6e-02 1.6e+00;1.6e+00 1.2e-02;1.4e-01 8.0e-03;1.4e-01 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;4.0e-03 4.0e-03;1.6e+00 0.0e+00
